iter	Passed	Remaining
452	1087	1313
453	1089	1310
454	1092	1308
455	1093	1304
456	1096	1302
457	1097	1299
458	1100	1296
459	1101	1293
460	1103	1289
461	1104	1286
462	1106	1283
463	1108	1280
464	1110	1277
465	1112	1274
466	1113	1271
467	1115	1268
468	1117	1265
469	1119	1262
470	1121	1259
471	1123	1256
472	1125	1254
473	1127	1250
474	1129	1247
475	1130	1244
476	1133	1242
477	1135	1240
478	1137	1237
479	1139	1234
480	1141	1232
481	1144	1229
482	1146	1226
483	1147	1223
484	1149	1220
485	1151	1217
486	1153	1215
487	1155	1212
488	1157	1209
489	1160	1207
490	1162	1205
491	1164	1202
492	1166	1200
493	1168	1197
494	1171	1194
495	1173	1191
496	1175	1189
497	1177	1187
498	1179	1184
499	1181	1181
500	1183	1179
501	1185	1176
502	1188	1174
503	1191	1172
504	1192	1169
505	1195	1166
506	1196	1163
507	1198	1160
508	1200	1157
509	1202	1155
510	1204	1152
511	1205	1149
512	1208	1147
513	1210	1144
514	1212	1141
515	1214	1139
516	1216	1136
517	1218	1134
518	1220	1131
519	1222	1128
520	1225	1126
521	1226	1123
522	1228	1120
523	1229	1117
524	1232	1114
525	1233	1111
526	1236	1109
527	1237	1106
528	1239	1103
529	1240	1100
530	1242	1097
531	1245	1095
532	1248	1093
533	1251	1091
534	1252	1088
535	1254	1085
536	1256	1083
537	1258	1080
538	1260	1078
539	1262	1075
540	1264	1072
541	1265	1069
542	1267	1066
543	1269	1064
544	1272	1062
545	1274	1059
546	1275	1056
547	1277	1053
548	1279	1051
549	1281	1048
550	1283	1045
551	1285	1043
552	1287	1040
553	1289	1038
554	1291	1035
555	1293	1033
556	1296	1030
557	1298	1028
558	1300	1025
559	1302	1023
560	1305	1021
561	1306	1018
562	1308	1015
563	1310	1013
564	1311	1010
565	1314	1007
566	1316	1005
567	1318	1002
568	1320	1000
569	1322	997
570	1324	994
571	1326	992
572	1328	990
573	1330	987
574	1333	985
575	1336	983
576	1339	981
577	1342	979
578	1343	977
579	1345	974
580	1347	971
581	1349	969
582	1351	966
583	1354	964
584	1356	962
585	1357	959
586	1360	956
587	1361	954
588	1363	951
589	1366	949
590	1367	946
591	1369	943
592	1370	940
593	1372	937
594	1373	935
595	1375	932
596	1376	929
597	1378	926
598	1380	923
599	1382	921
600	1384	918
601	1385	916
602	1388	913
603	1389	911
604	1392	908
605	1393	906
606	1395	903
607	1397	901
608	1399	898
609	1400	895
610	1403	893
611	1406	891
612	1409	890
613	1412	888
614	1415	886
615	1417	883
616	1420	881
617	1422	879
618	1426	877
619	1428	875
620	1430	872
621	1431	870
622	1434	868
623	1437	866
624	1441	864
625	1443	862
626	1445	859
627	1448	857
628	1450	855
629	1452	853
630	1454	850
631	1456	848
632	1459	846
633	1461	843
634	1463	841
635	1466	839
636	1468	836
637	1471	834
638	1473	832
639	1535	863
640	1538	861
641	1539	858
642	1541	855
643	1544	853
644	1547	851
645	1549	849
646	1551	846
647	1553	843
648	1556	841
649	1558	839
650	1559	836
651	1561	833
652	1563	830
653	1566	828
654	1568	826
655	1570	823
656	1572	820
657	1575	818
658	1576	815
659	1579	813
660	1581	810
661	1584	808
662	1586	806
663	1587	803
664	1589	800
665	1591	798
666	1595	796
667	1597	793
668	1598	791
669	1601	788
670	1604	786
671	1606	784
672	1608	781
673	1610	778
674	1611	776
675	1613	773
676	1615	770
677	1617	768
678	1619	765
679	1621	763
680	1623	760
681	1625	757
682	1627	755
683	1629	752
684	1631	750
685	1634	747
686	1637	745
687	1639	743
688	1642	741
689	1644	739
690	1647	736
691	1650	734
692	1653	732
693	1656	730
694	1659	728
695	1661	725
696	1662	722
697	1665	720
698	1667	718
699	1669	715
700	1671	713
701	1674	710
702	1677	708
703	1680	706
704	1684	704
705	1686	702
706	1690	700
707	1692	697
708	1694	695
709	1696	692
710	1699	690
711	1701	688
712	1704	686
713	1706	683
714	1708	680
715	1710	678
716	1712	675
717	1713	673
718	1715	670
719	1718	668
720	1719	665
721	1722	663
722	1723	660
723	1725	657
724	1728	655
725	1730	652
726	1731	650
727	1734	648
728	1736	645
729	1738	643
730	1740	640
731	1742	637
732	1744	635
733	1746	632
734	1747	630
735	1749	627
736	1751	624
737	1753	622
738	1754	619
739	1756	617
740	1758	614
741	1761	612
742	1762	609
743	1765	607
744	1766	604
745	1769	602
746	1771	599
747	1772	597
748	1775	594
749	1776	592
750	1778	589
751	1780	587
752	1782	584
753	1784	582
754	1786	579
755	1788	577
756	1789	574
757	1791	571
758	1793	569
759	1795	566
760	1797	564
761	1799	561
762	1801	559
763	1803	556
764	1805	554
765	1807	552
766	1809	549
767	1811	547
768	1814	545
769	1816	542
770	1818	540
771	1820	537
772	1821	534
773	1823	532
774	1825	530
775	1827	527
776	1829	524
777	1830	522
778	1833	520
779	1835	517
780	1837	515
781	1838	512
782	1841	510
783	1842	507
784	1844	505
785	1846	502
786	1847	500
787	1849	497
788	1852	495
789	1853	492
790	1855	490
791	1857	487
792	1859	485
793	1861	482
794	1862	480
795	1864	477
796	1865	475
797	1867	472
798	1869	470
799	1871	467
800	1873	465
801	1875	462
802	1876	460
803	1878	457
804	1880	455
805	1882	453
806	1884	450
807	1886	448
808	1889	446
809	1892	443
810	1893	441
811	1896	438
812	1897	436
813	1899	433
814	1901	431
815	1902	429
816	1904	426
817	1906	424
818	1908	421
819	1909	419
820	1911	416
821	1912	414
822	1915	411
823	1916	409
824	1918	407
825	1920	404
826	1923	402
827	1925	399
828	1927	397
829	1929	395
830	1931	392
831	1933	390
832	1936	388
833	1938	385
834	1940	383
835	1942	381
836	1965	382
837	1968	380
838	1971	378
839	1972	375
840	1974	373
841	1976	370
842	1978	368
843	1980	365
844	1982	363
845	1983	361
846	1985	358
847	1987	356
848	1989	353
849	1992	351
850	1993	349
851	1995	346
852	1997	344
853	2000	342
854	2003	339
855	2006	337
856	2007	335
857	2011	332
858	2014	330
859	2016	328
860	2017	325
861	2019	323
862	2021	320
863	2023	318
864	2024	316
865	2026	313
866	2028	311
867	2030	308
868	2033	306
869	2036	304
870	2038	301
871	2040	299
872	2043	297
873	2044	294
874	2046	292
875	2048	289
876	2049	287
877	2052	285
878	2054	282
879	2055	280
880	2057	277
881	2059	275
882	2062	273
883	2064	270
884	2067	268
885	2070	266
886	2072	264
887	2075	261
888	2077	259
889	2082	257
890	2086	255
891	2109	255
892	2112	253
893	2114	250
894	2117	248
895	2119	246
896	2122	243
897	2125	241
898	2129	239
899	2131	236
900	2133	234
901	2136	232
902	2139	229
903	2142	227
904	2144	225
905	2148	222
906	2162	221
907	2197	222
908	2200	220
909	2203	217
910	2207	215
911	2210	213
912	2214	211
913	2217	208
914	2220	206
915	2223	203
916	2226	201
917	2229	199
918	2232	196
919	2235	194
920	2238	192
921	2240	189
922	2243	187
923	2246	184
924	2249	182
925	2252	180
926	2255	177
927	2258	175
928	2261	172
929	2264	170
930	2268	168
931	2272	165
932	2275	163
933	2279	161
934	2281	158
935	2284	156
936	2288	153
937	2291	151
938	2294	149
939	2322	148
940	2325	145
941	2328	143
942	2329	140
943	2332	138
944	2335	135
945	2337	133
946	2340	130
947	2343	128
948	2346	126
949	2350	123
950	2354	121
951	2356	118
952	2359	116
953	2363	113
954	2367	111
955	2372	109
956	2375	106
957	2378	104
958	2381	101
959	2385	99
960	2388	96
961	2391	94
962	2393	91
963	2396	89
964	2399	87
965	2401	84
966	2403	82
967	2406	79
968	2408	77
969	2411	74
970	2413	72
971	2415	69
972	2418	67
973	2420	64
974	2422	62
975	2424	59
976	2426	57
977	2428	54
978	2430	52
979	2433	49
980	2436	47
981	2439	44
982	2442	42
983	2444	39
984	2446	37
985	2448	34
986	2450	32
987	2453	29
988	2456	27
989	2480	25
990	2482	22
991	2485	20
992	2487	17
993	2489	15
994	2492	12
995	2494	10
996	2497	7
997	2500	5
998	2502	2
999	2505	0
