iter	RMSE
0	7.769206068
1	7.621410964
2	7.469225229
3	7.317652085
4	7.154284523
5	7.015253556
6	6.865626972
7	6.71473899
8	6.577635659
9	6.431674677
10	6.308836563
11	6.176662864
12	6.060719948
13	5.941418338
14	5.826109121
15	5.723883187
16	5.613502457
17	5.511029358
18	5.410568805
19	5.319442557
20	5.215785109
21	5.125644176
22	5.033467118
23	4.943649268
24	4.877481026
25	4.795989826
26	4.718904609
27	4.642904544
28	4.573646243
29	4.499956279
30	4.434405292
31	4.371505775
32	4.305770968
33	4.239433948
34	4.175411957
35	4.115654039
36	4.056602188
37	4.005958709
38	3.949395808
39	3.899417616
40	3.851733998
41	3.801409836
42	3.75906468
43	3.715566851
44	3.67380073
45	3.634877234
46	3.598346468
47	3.557524443
48	3.526433429
49	3.49023551
50	3.455340771
51	3.417934766
52	3.387653359
53	3.356831142
54	3.322036318
55	3.291272164
56	3.265648067
57	3.235621849
58	3.210568663
59	3.184707918
60	3.157199633
61	3.132357628
62	3.107052614
63	3.082160006
64	3.059345044
65	3.036710701
66	3.015313036
67	2.996399568
68	2.975029894
69	2.958147623
70	2.9369098
71	2.915990889
72	2.897069613
73	2.880616613
74	2.860451267
75	2.841483715
76	2.823148304
77	2.802581079
78	2.779719746
79	2.761776345
80	2.747136543
81	2.731164122
82	2.71274225
83	2.698047431
84	2.684155628
85	2.667090906
86	2.653734598
87	2.64517646
88	2.632313138
89	2.617063154
90	2.605831948
91	2.591715232
92	2.578254056
93	2.567672464
94	2.554359964
95	2.543788769
96	2.53404583
97	2.52494355
98	2.515171192
99	2.504403728
100	2.493935771
101	2.482573016
102	2.473698007
103	2.46263845
104	2.454152666
105	2.446274094
106	2.435080805
107	2.424971033
108	2.414760502
109	2.406538052
110	2.396503666
111	2.389000557
112	2.379722762
113	2.372375688
114	2.360523351
115	2.35181794
116	2.346576019
117	2.340284915
118	2.329664569
119	2.321815073
120	2.315925393
121	2.306551314
122	2.302211855
123	2.296593008
124	2.288507588
125	2.280539816
126	2.273043822
127	2.264877668
128	2.256905055
129	2.24565163
130	2.239139326
131	2.231301461
132	2.221466304
133	2.215670548
134	2.209654396
135	2.201877784
136	2.198174062
137	2.191055355
138	2.186468831
139	2.178523712
140	2.173776565
141	2.166427957
142	2.162086889
143	2.160944447
144	2.153809957
145	2.146836482
146	2.142176125
147	2.136616755
148	2.128404092
149	2.121198706
150	2.114528419
151	2.110794677
152	2.105483917
153	2.096435009
154	2.091222651
155	2.082266462
156	2.076346994
157	2.071614524
158	2.067877748
159	2.061780614
160	2.056227869
161	2.05278941
162	2.046139397
163	2.03812547
164	2.033402946
165	2.028129988
166	2.022343512
167	2.014904223
168	2.008678143
169	2.00256683
170	1.996986438
171	1.991423604
172	1.986107171
173	1.979671438
174	1.971788165
175	1.966452772
176	1.961033533
177	1.956441899
178	1.950902868
179	1.946810979
180	1.943675933
181	1.937658421
182	1.932358078
183	1.928389548
184	1.92400832
185	1.919232986
186	1.913232243
187	1.910774118
188	1.907685643
189	1.903107654
190	1.896364812
191	1.893068204
192	1.888963544
193	1.885865226
194	1.880168933
195	1.876681004
196	1.87157003
197	1.865283228
198	1.862598332
199	1.858325408
200	1.853997622
201	1.852239216
202	1.850152811
203	1.845582624
204	1.839270218
205	1.836455034
206	1.8327177
207	1.827291254
208	1.821050624
209	1.817601031
210	1.814086513
211	1.811879149
212	1.809427411
213	1.807111915
214	1.804213833
215	1.802264532
216	1.793663984
217	1.791830776
218	1.787453179
219	1.7822967
220	1.778071123
221	1.776125931
222	1.772817072
223	1.768510345
224	1.763154301
225	1.761521182
226	1.759771546
227	1.751562987
228	1.748325082
229	1.745835609
230	1.742693675
231	1.741213496
232	1.738003301
233	1.737172991
234	1.734960031
235	1.732566386
236	1.731752069
237	1.72877108
238	1.726530694
239	1.722721423
240	1.717424856
241	1.710754773
242	1.709967237
243	1.707530888
244	1.70598078
245	1.699449465
246	1.696603525
247	1.695487471
248	1.6948347
249	1.690148521
250	1.687876608
251	1.687266388
252	1.686459693
253	1.685728246
254	1.680194553
255	1.677035971
256	1.673180859
257	1.668443616
258	1.661906422
259	1.6577116
260	1.655140419
261	1.651391892
262	1.646988546
263	1.646342895
264	1.645783274
265	1.640056009
266	1.639015317
267	1.6373319
268	1.632913635
269	1.628941112
270	1.627218441
271	1.622491337
272	1.620607202
273	1.612493963
274	1.611879436
275	1.611377903
276	1.609706764
277	1.607144984
278	1.603151475
279	1.60039903
280	1.599130856
281	1.597660741
